"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         190,      -5.581210073,      -5.243319771,      -5.298782943,      -4.836345684
          0,           0,         191,      -5.624835741,      -5.290666348,      -5.336535163,      -4.895606631
          0,           0,         192,      -5.581352301,      -5.243411403,      -5.298795501,      -4.836339058
          0,           0,         193,      -5.624899754,      -5.290697609,      -5.336479223,      -4.895512545
          0,           0,         194,      -5.581484698,      -5.243486754,       -5.29879639,      -4.836317806
          0,           0,         195,      -5.624948055,      -5.290705152,      -5.336407114,      -4.895395857
          0,           0,         196,      -5.581608796,      -5.243547394,      -5.298786573,      -4.836283775
          0,           0,         197,      -5.624982321,      -5.290690801,      -5.336319742,      -4.895258938
          0,           0,         198,       -5.58172593,      -5.243594763,      -5.298766924,      -4.836238665
          0,           0,         199,      -5.625004467,      -5.290656484,       -5.33621837,      -4.895103843
          0,           0,         200,      -5.581836697,      -5.243629624,      -5.298737576,      -4.836183293
          0,           0,         201,      -5.625015949,      -5.290603724,      -5.336104109,      -4.894932357
          0,           0,         202,       -5.58194133,      -5.243652305,      -5.298698649,      -4.836117815
          0,           0,         203,      -5.625016899,      -5.290532883,      -5.335976945,      -4.894745041
          0,           0,         204,      -5.582040225,      -5.243663361,      -5.298650792,      -4.836042639
          0,           0,         205,       -5.62500692,      -5.290443951,      -5.335836686,      -4.894541669
          0,           0,         206,      -5.582133582,      -5.243663263,      -5.298594646,      -4.835958107
          0,           0,         207,      -5.624985792,      -5.290337187,      -5.335683609,      -4.894321877
          0,           0,         208,       -5.58222112,      -5.243652107,      -5.298530441,      -4.835864022
          0,           0,         209,      -5.624953398,      -5.290212977,      -5.335518277,      -4.894085365
          0,           0,         210,      -5.582302153,      -5.243629665,      -5.298457975,      -4.835759683
          0,           0,         211,      -5.624909599,       -5.29007169,       -5.33534112,      -4.893831964
          0,           0,         212,      -5.582376295,      -5.243595956,       -5.29837733,      -4.835644735
          0,           0,         213,      -5.624854518,      -5.289913864,      -5.335152725,      -4.893561814
          0,           0,         214,      -5.582443381,      -5.243551131,      -5.298288788,      -4.835519025
          0,           0,         215,      -5.624788257,        -5.2897399,      -5.334953578,      -4.893275106
          0,           0,         216,      -5.582503331,      -5.243495357,      -5.298192581,      -4.835382532
          0,           0,         217,      -5.624710944,      -5.289550157,      -5.334744008,      -4.892972152
          0,           0,         218,      -5.582556258,       -5.24342892,      -5.298089028,      -4.835235426
          0,           0,         219,      -5.624622689,       -5.28934495,      -5.334524221,      -4.892653273
          0,           0,         220,      -5.582602526,       -5.24335225,      -5.297978589,      -4.835078214
          0,           0,         221,      -5.624524282,      -5.289125206,      -5.334295043,      -4.892319277
          0,           0,         222,      -5.582642354,      -5.243265741,       -5.29786146,      -4.834911327
          0,           0,         223,      -5.624416752,      -5.288892093,      -5.334057435,      -4.891971473
          0,           0,         224,      -5.582675981,      -5.243169851,      -5.297737775,      -4.834735043
          0,           0,         225,      -5.624300111,      -5.288645758,      -5.333811147,      -4.891610274
          0,           0,         226,       -5.58270392,      -5.243065127,      -5.297608166,      -4.834550154
          0,           0,         227,      -5.624174891,      -5.288386942,      -5.333556723,       -4.89123637
          0,           0,         228,      -5.582726593,      -5.242952043,      -5.297473088,      -4.834357247
          0,           0,         229,      -5.624041859,      -5.288116552,      -5.333294914,      -4.890850734
          0,           0,         230,      -5.582744202,      -5.242831104,      -5.297332669,      -4.834156545
          0,           0,         231,      -5.623901059,      -5.287834983,      -5.333025438,      -4.890453739
          0,           0,         232,      -5.582757445,      -5.242703219,      -5.297187532,      -4.833949164
          0,           0,         233,      -5.623753569,      -5.287543698,      -5.332749287,      -4.890046729
          0,           0,         234,      -5.582766774,      -5.242569022,      -5.297038114,      -4.833735702
          0,           0,         235,      -5.623600293,      -5.287243806,      -5.332467318,      -4.889630832
          0,           0,         236,      -5.582772499,      -5.242429009,      -5.296884655,       -4.83351667
          0,           0,         237,       -5.62344208,      -5.286936307,        -5.3321803,      -4.889207129
          0,           0,         238,      -5.582774844,      -5.242283596,      -5.296727303,      -4.833292434
          0,           0,         239,      -5.623279605,      -5.286622037,      -5.331888802,      -4.888776539
          0,           0,         240,      -5.582774023,      -5.242133171,      -5.296566233,      -4.833063327
          0,           0,         241,      -5.623113242,       -5.28630157,      -5.331593086,      -4.888339798
          0,           0,         242,      -5.582770404,      -5.241978238,      -5.296401841,      -4.832829876
          0,           0,         243,      -5.622943221,      -5.285975309,      -5.331293356,      -4.887897404
          0,           0,         244,      -5.582764645,      -5.241819531,      -5.296234773,       -4.83259288
          0,           0,         245,      -5.622770229,      -5.285644049,      -5.330990377,      -4.887450239
          0,           0,         246,      -5.582756184,      -5.241656658,      -5.296064717,      -4.832351413
          0,           0,         247,      -5.622592567,      -5.285306355,      -5.330682193,      -4.886996603
          0,           0,         248,      -5.582744344,      -5.241489021,      -5.295890724,      -4.832105584
          0,           0,         249,       -5.62240934,      -5.284961498,       -5.33036785,      -4.886535908
