"PointID","x","y","Pressure","Velocity_x","Velocity_y","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
32, 9.810458522924397e-01, 5.264220396244077e-04, 1.361643375253507e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.723286750507015e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.299237047212673e-03, -4.775956470353438e-05, -0.000000000000000e+00, 7.915662557641004e+00, 0.000000000000000e+00
33, 9.798996163558321e-01, 5.685573293295217e-04, 1.275899357158330e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.551798714316660e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.304576977629856e-03, -4.795585894623023e-05, -0.000000000000000e+00, 7.931337176226063e+00, 0.000000000000000e+00
34, 9.786487076631807e-01, 6.145403581948539e-04, 1.246891952409973e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.493783904819946e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.298402385068547e-03, -4.772888277310827e-05, -0.000000000000000e+00, 7.911900591311473e+00, 0.000000000000000e+00
35, 9.772838621939776e-01, 6.647116688394925e-04, 1.161536883513797e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.323073767027595e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.288879489502708e-03, -5.953034082965093e-05, -0.000000000000000e+00, 7.883651251715413e+00, 0.000000000000000e+00
36, 9.757963081776020e-01, 7.462860450040501e-04, 1.038166676967159e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.076333353934319e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.302812742490816e-03, -7.275892525554255e-05, -0.000000000000000e+00, 7.927252683139930e+00, 0.000000000000000e+00
37, 9.741742082002447e-01, 8.383782865515892e-04, 9.644033510187321e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.928806702037464e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.325030671882064e-03, -7.522658676789327e-05, -0.000000000000000e+00, 7.993814048019886e+00, 0.000000000000000e+00
38, 9.724057285796915e-01, 9.387810081231901e-04, 8.808975548902126e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.761795109780425e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.343569511169387e-03, -7.627910097139750e-05, -0.000000000000000e+00, 8.048468098053760e+00, 0.000000000000000e+00
39, 9.704782485454505e-01, 1.048210734631535e-03, 8.107143788932875e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.621428757786575e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.359751612574406e-03, -7.719781499157599e-05, -0.000000000000000e+00, 8.095588000509641e+00, 0.000000000000000e+00
40, 9.683781717167630e-01, 1.167439379767817e-03, 7.463706174455301e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.492741234891060e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.372026751523177e-03, -7.789471720283554e-05, -0.000000000000000e+00, 8.130701759038708e+00, 0.000000000000000e+00
41, 9.660908723769552e-01, 1.297297296193099e-03, 6.875088150383295e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.375017630076659e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.380809447108128e-03, -7.839334129169352e-05, -0.000000000000000e+00, 8.155182595098173e+00, 0.000000000000000e+00
