"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         184,      -5.725126378,      -4.840200447,      -5.162112657,      -9.345509396
          0,           0,         185,      -5.715460421,       -4.84228878,      -5.171082857,      -9.341474565
          0,           0,         186,      -5.708749142,      -4.843481578,      -5.173012857,      -9.337634864
          0,           0,         187,      -5.705207437,      -4.843782419,      -5.168072673,      -9.333566051
          0,           0,         188,      -5.704967638,      -4.843260903,      -5.157446152,      -9.329597906
          0,           0,         189,      -5.708136223,      -4.842046562,       -5.14291945,      -9.325422821
          0,           0,         190,      -5.714740016,      -4.840315603,      -5.126428663,      -9.321100301
          0,           0,         191,      -5.724712514,      -4.838276221,      -5.109700452,      -9.316256314
          0,           0,         192,      -5.737932578,      -4.836151238,      -5.094077539,      -9.311311399
          0,           0,         193,       -5.75427322,      -4.834159026,      -5.080486484,      -9.306321513
          0,           0,         194,      -5.773484021,      -4.832501291,       -5.06958978,      -9.301336768
          0,           0,         195,      -5.795040857,      -4.831357526,      -5.061829939,      -9.296205021
          0,           0,         196,      -5.818193665,      -4.830874104,      -5.057483541,      -9.290989126
          0,           0,         197,      -5.842053358,      -4.831157248,      -5.056668395,      -9.285589835
          0,           0,         198,      -5.865386974,      -4.832268432,      -5.059467293,      -9.280068995
          0,           0,         199,      -5.886485996,      -4.834231751,      -5.065932338,      -9.274596852
          0,           0,         200,      -5.903479658,      -4.837032445,      -5.076052318,      -9.269084137
          0,           0,         201,      -5.914780638,      -4.840613028,      -5.089755774,      -9.263637538
          0,           0,         202,      -5.919809811,      -4.844872855,      -5.106805097,       -9.25826813
          0,           0,         203,      -5.918506237,      -4.849670203,      -5.127008926,      -9.252894681
          0,           0,         204,      -5.911658313,      -4.854841389,      -5.149955295,      -9.247620263
          0,           0,         205,      -5.900817875,      -4.860196387,      -5.174990468,      -9.242483784
          0,           0,         206,      -5.887803696,      -4.865527632,      -5.201135296,      -9.237495366
          0,           0,         207,      -5.874413413,      -4.870622216,      -5.226926257,       -9.23258625
          0,           0,         208,      -5.861873831,      -4.875276027,      -5.250682912,       -9.22786242
          0,           0,         209,      -5.851080973,      -4.879318961,      -5.270419205,      -9.223220036
          0,           0,         210,      -5.842719629,      -4.882623197,      -5.284253243,      -9.218595016
          0,           0,         211,      -5.837280479,       -4.88511361,      -5.290950605,      -9.214002611
