"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         133,      -5.722370247,      -4.964283632,       -5.18866408,      -9.701017054
          0,           0,         134,      -5.725324301,      -4.966331741,      -5.211876302,      -9.694420738
          0,           0,         135,      -5.728003778,      -4.967410299,      -5.231877498,      -9.687892168
          0,           0,         136,      -5.730763712,      -4.967993996,      -5.247558549,      -9.681352874
          0,           0,         137,      -5.733957639,      -4.968514909,       -5.25825283,      -9.674840397
          0,           0,         138,      -5.737886889,      -4.969336074,      -5.263943602,      -9.668375215
          0,           0,         139,      -5.742750671,      -4.970731154,      -5.265256461,       -9.66191522
          0,           0,         140,      -5.748709254,      -4.972878791,      -5.263261884,      -9.655501284
          0,           0,         141,      -5.755901151,      -4.975866793,      -5.259208522,      -9.649140774
          0,           0,         142,      -5.764438515,      -4.979700103,      -5.254293966,      -9.642796807
          0,           0,         143,      -5.774403745,         -4.984314,      -5.249529602,       -9.63644503
          0,           0,         144,       -5.78584389,      -4.989588716,      -5.245695539,      -9.630140886
          0,           0,         145,       -5.79875606,      -4.995363997,      -5.243352654,      -9.623800467
          0,           0,         146,      -5.813069192,      -5.001455811,      -5.242878865,      -9.617436421
          0,           0,         147,      -5.828670197,      -5.007670085,      -5.244497381,      -9.611098798
          0,           0,         148,      -5.845263766,      -5.013830967,      -5.248338628,      -9.604749596
          0,           0,         149,      -5.862366951,      -5.019793502,      -5.254471282,      -9.598424806
          0,           0,         150,      -5.879359751,      -5.025450585,      -5.262907378,      -9.592099154
          0,           0,         151,      -5.895475872,      -5.030746366,       -5.27361286,      -9.585803155
          0,           0,         152,      -5.909841227,      -5.035679413,      -5.286508951,      -9.579458012
          0,           0,         153,      -5.921579144,      -5.040297675,      -5.301466379,      -9.573193391
          0,           0,         154,      -5.929964348,      -5.044688607,      -5.318293795,       -9.56695339
          0,           0,         155,      -5.934582773,      -5.048966281,      -5.336719968,      -9.560704628
          0,           0,         156,      -5.935446869,      -5.053256659,       -5.35636885,      -9.554475278
          0,           0,         157,      -5.933031898,      -5.057683315,       -5.37672306,      -9.548399041
          0,           0,         158,      -5.928113083,      -5.062348109,      -5.397131798,      -9.542317774
          0,           0,         159,      -5.921641872,      -5.067337724,      -5.416801677,      -9.536314769
          0,           0,         160,      -5.914580394,      -5.072701939,      -5.434827374,      -9.530435421
          0,           0,         161,      -5.907810769,      -5.078455698,      -5.450276158,      -9.524649468
          0,           0,         162,      -5.902075221,      -5.084579638,      -5.462322952,      -9.518938505
          0,           0,         163,      -5.897954515,      -5.091021029,      -5.470407847,      -9.513312085
          0,           0,         164,      -5.895899605,      -5.097701797,      -5.474308928,      -9.507902304
          0,           0,         165,      -5.896262022,      -5.104500236,      -5.474321599,       -9.50255666
          0,           0,         166,      -5.899147447,      -5.111311205,      -5.471117036,      -9.497262318
          0,           0,         167,      -5.904578214,      -5.118010908,      -5.465593657,      -9.492113277
          0,           0,         168,      -5.912511537,       -5.12448269,      -5.458726472,      -9.487046443
          0,           0,         169,      -5.922810725,       -5.13063313,       -5.45144134,      -9.482073902
          0,           0,         170,      -5.935216304,      -5.136398135,      -5.444531691,      -9.477136832
          0,           0,         171,      -5.949325907,      -5.141746734,      -5.438626477,      -9.472254923
          0,           0,         172,      -5.964567308,      -5.146682922,      -5.434195155,       -9.46748848
          0,           0,         173,      -5.980190498,      -5.151241743,      -5.431557648,      -9.462750177
          0,           0,         174,      -5.995283907,      -5.155486317,       -5.43090578,      -9.458058954
          0,           0,         175,      -6.008822003,      -5.159498385,      -5.432325145,      -9.453428617
